[12:09:55] [INFO] received Windows console close event; shutting log-core down
[17:46:57] [INFO] received Windows console close event; shutting log-core down
[17:49:27] [INFO] received Windows console close event; shutting log-core down
[18:02:33] [INFO] received Windows console close event; shutting log-core down
[18:04:13] [INFO] received Windows console close event; shutting log-core down
[18:10:51] [INFO] received Windows console close event; shutting log-core down
[18:24:39] [INFO] received Windows console close event; shutting log-core down
[18:30:25] [INFO] received Windows console close event; shutting log-core down
[18:36:26] [INFO] received Windows console close event; shutting log-core down
[21:38:26] [INFO] received Windows console close event; shutting log-core down
[22:45:04] [INFO] received Windows console close event; shutting log-core down
[14:19:29] [INFO] received Windows console close event; shutting log-core down
[15:11:58] [INFO] received Windows console close event; shutting log-core down
[17:13:05] [INFO] received Windows console close event; shutting log-core down
[21:40:53] [INFO] received Windows console close event; shutting log-core down
[15:39:13] [INFO] received Windows console close event; shutting log-core down
[18:53:20] [INFO] received Windows console close event; shutting log-core down
[19:07:07] [INFO] received Windows console close event; shutting log-core down
[19:08:27] [INFO] received Windows console close event; shutting log-core down
[12:17:16] [INFO] received Windows console close event; shutting log-core down
[12:36:46] [INFO] received Windows console close event; shutting log-core down
[10:08:55] [INFO] received Windows console close event; shutting log-core down
[10:26:41] [INFO] received Windows console close event; shutting log-core down
[10:29:57] [INFO] received Windows console close event; shutting log-core down
[10:33:43] [INFO] received Windows console close event; shutting log-core down
[10:36:44] [INFO] received Windows console close event; shutting log-core down
[10:40:22] [INFO] received Windows console close event; shutting log-core down
[10:44:08] [INFO] received Windows console close event; shutting log-core down
[10:45:40] [INFO] received Windows console close event; shutting log-core down
[10:49:48] [INFO] received Windows console close event; shutting log-core down
[10:51:24] [INFO] received Windows console close event; shutting log-core down
[10:57:01] [INFO] received Windows console close event; shutting log-core down
[11:01:12] [INFO] received Windows console close event; shutting log-core down
[14:10:07] [INFO] received Windows console close event; shutting log-core down
[16:38:09] [INFO] received Windows console close event; shutting log-core down
[19:19:27] [INFO] received Windows console close event; shutting log-core down
[22:45:58] [INFO] received Windows console close event; shutting log-core down
[23:10:28] [INFO] received Windows console close event; shutting log-core down
[13:10:48] [INFO] received Windows console close event; shutting log-core down
[13:03:59] [INFO] received Windows console close event; shutting log-core down
[15:33:48] [INFO] received Windows console close event; shutting log-core down
[22:54:04] [INFO] received Windows console close event; shutting log-core down
[23:47:46] [INFO] received Windows console close event; shutting log-core down
[14:54:14] [INFO] received Windows console close event; shutting log-core down
[20:19:32] [INFO] received Windows console close event; shutting log-core down
[22:58:37] [INFO] received Windows console close event; shutting log-core down
[23:18:07] [INFO] received Windows console close event; shutting log-core down
[20:26:47] [INFO] received Windows console close event; shutting log-core down
[18:41:42] [INFO] received Windows console close event; shutting log-core down
[20:46:02] [INFO] received Windows console close event; shutting log-core down
[23:37:45] [INFO] received Windows console close event; shutting log-core down
[13:36:32] [INFO] received Windows console close event; shutting log-core down
[18:25:19] [INFO] received Windows console close event; shutting log-core down
[21:35:39] [INFO] received Windows console close event; shutting log-core down
[22:01:13] [INFO] received Windows console close event; shutting log-core down
[23:30:20] [INFO] received Windows console close event; shutting log-core down
[20:40:38] [INFO] received Windows console close event; shutting log-core down
[17:30:29] [INFO] received Windows console close event; shutting log-core down
[22:43:40] [INFO] received Windows console close event; shutting log-core down
[13:05:27] [INFO] received Windows console close event; shutting log-core down
[15:29:34] [INFO] received Windows console close event; shutting log-core down
